"","Team","Season","Player1","Player2","Arch1","Arch2","Lebron1","Lebron2","WinsAdded1","WinsAdded2","MPG1","MPG2","PM0","PM1","PM2","PM3","ActM0","ActM1","ActM2","ActM3","Stack/Stagger","SuggM0","suggM1","SuggM2","SuggM3","SuggProp","ActualProp","DiffProp","Stack","GamesPlayed","ActM0_PerGame","ActM1_PerGame","ActM2_PerGame","ActM3_PerGame","ActSum","max_m0","ActM0_Prop","NewArch1","NewArch2","Double_Arch","NewDouble_Arch","NewSugg0","NewSugg1","NewSugg2","NewSugg3","StackSugg0","StackSugg1","StackSugg2","StackSugg3","StaggerSugg0","StaggerSugg1","StaggerSugg2","StaggerSugg3","suggM0_Prop","FinalStack","FinalCompStack","RealGameScore","SuggGameScore","GameImprovement","StackGameScore","StackImprovement","StaggerGameScore","StaggerImprovement","Diff_M0_PerGame","Diff_M1_PerGame","Diff_M2_PerGame","Diff_M3_PerGame","NDA_factor"
"266","MIA",2020,"Jimmy Butler","Bam Adebayo","Shot Creator","Roll + Cut Big",4.94,2.91,9.2,8.3,33.4157782515991,33.2963752665245,-0.25,1.58,1.68,6.57,504,358,351,1601,3.06,14.2,0.199999999999996,0,33.6,0.716417910447761,0.693073593073593,0.0233443173741681,TRUE,58.625,8.59701492537313,6.10660980810235,5.98720682302772,27.3091684434968,48,14.58,0.589644370738898,"On Ball","Off_Ball_Big","Roll + Cut Big Shot Creator","Off_Ball_Big On Ball",9.13,5.57,5.45,27.84,14.58,0.12,0,33.29,0,14.7,14.58,18.71,0.626200274348423,TRUE,TRUE,4.10372778962331,4.531625,0.427897210376687,4.48458125,0.380853460376688,3.55510625,-0.548621539623313,0.532985074626867,-0.536609808102345,-0.537206823027718,0.530831556503198,"Off_Ball_Big On Ball"
"267","PHI",2019,"Joel Embiid","Ben Simmons","Post Scorer","Post Scorer",5.68,0.98,11.1,5.9,33.4045393858478,33.6128170894526,1.77,9.73,-2.4,7.95,270,628,641,1457,2.39,13.8,0,0.5,33.7,0.718717948717949,0.53448275862069,0.184235190097259,TRUE,62.4166666666667,4.32576769025367,10.0614152202937,10.2696929238985,23.3431241655541,48,14.39,0.300609290497128,"On_Ball_Big","On_Ball_Big","Post Scorer Post Scorer","On_Ball_Big On_Ball_Big",9.01,5.38,5.59,28.03,14.39,0,0.21,33.41,0,14.39,14.6,19.02,0.626129256428075,TRUE,TRUE,5.55176568758344,6.0654375,0.513671812416556,6.0536625,0.501896812416554,5.33716041666667,-0.214605270916778,4.68423230974633,-4.68141522029372,-4.67969292389853,4.68687583444593,"On_Ball_Big On_Ball_Big"
"268","POR",2012,"LaMarcus Aldridge","Wesley Matthews","Post Scorer","Stationary Shooter",1.97,1.11,5.8,5.2,35.9324577861163,32.474296435272,-13.26,-4.61,-4.37,6.59,322,540,348,1455,2.31,11.7,2.5,0,33.8,0.691470951792336,0.620998719590269,0.0704722322020674,TRUE,55.5208333333333,5.79962476547842,9.72607879924953,6.26791744840525,26.2063789868668,48,12.07,0.480499152069463,"On_Ball_Big","Off Ball","Post Scorer Stationary Shooter","Off Ball On_Ball_Big",7.56,7.97,4.51,27.97,12.07,3.46,0,32.48,0,15.53,12.07,20.41,0.626346313173157,TRUE,TRUE,0.491020637898686,1.16822916666667,0.677208528767979,0.792591666666666,0.30157102876798,0.211722916666667,-0.27929772123202,1.76037523452158,-1.75607879924953,-1.75791744840525,1.76362101313321,"Off Ball On_Ball_Big"
"269","PHI",2022,"Joel Embiid","Tobias Harris","Post Scorer","Shot Creator",6.39,0.74,12.7,5.2,33.5627425614489,34.9598965071151,-1.36,9.92,-5.56,6.68,473,367,457,1795,0.959999999999999,13.2,0,1,33.8,0.698562221120476,0.685376097747232,0.0131861233732441,TRUE,64.4166666666667,7.34282018111255,5.69728331177232,7.09443725743855,27.8654592496766,48,13.04,0.563099707140533,"On_Ball_Big","On Ball","Post Scorer Shot Creator","On Ball On_Ball_Big",7.66,5.38,6.78,28.18,13.04,0,1.4,33.56,0,13.04,14.44,20.52,0.587423312883436,TRUE,TRUE,4.02556274256145,4.214,0.188437257438551,4.1388,0.113237257438551,3.878,-0.147562742561449,0.317179818887452,-0.317283311772315,-0.31443725743855,0.314540750323417,"On Ball On_Ball_Big"
"270","NOP",2020,"Jrue Holiday","Brandon Ingram","Primary Ball Handler","Shot Creator",1.73,0.39,5.7,3.8,34.364471669219,33.1883614088821,-1.91,-2.25,-11,1.11,355,451,387,1419,12.45,13.3,0.800000000000004,0,33.9,0.787509923260122,0.628710677891006,0.158799245369116,TRUE,54.4166666666667,6.52373660030628,8.28790199081164,7.11179173047473,26.0765696784074,48,13.64,0.478279809406619,"On Ball","On Ball","Primary Ball Handler Shot Creator","On Ball On Ball",10.21,4.6,3.43,29.76,13.64,1.17,0,33.19,0,14.81,13.64,19.55,0.748533724340176,TRUE,TRUE,-1.67485068912711,0.217208333333333,1.89205902246044,0.169916666666667,1.84476735579377,-3.36795833333333,-1.69310764420623,3.68626339969372,-3.68790199081164,-3.68179173047473,3.68343032159265,"On Ball On Ball"
"271","SAC",2016,"DeMarcus Cousins","Rudy Gay","Post Scorer","Shot Creator",3.66,0.24,9,4.1,33.8431519699812,34.1673545966229,-0.51,-3.91,-7.54,2.05,389,379,397,1500,12.99,13.4,0.600000000000001,0,34,0.810702875399361,0.659050966608084,0.151651908791277,TRUE,55.5208333333333,7.00637898686679,6.82626641651032,7.15046904315197,27.0168855534709,48,13.83,0.506607302014952,"On_Ball_Big","On Ball","Post Scorer Shot Creator","On Ball On_Ball_Big",10.44,3.39,3.72,30.45,13.83,0,0.33,33.84,0,13.83,14.16,20.01,0.754880694143167,TRUE,TRUE,-0.599872420262665,1.26083333333333,1.860705753596,1.24646875,1.84634117026266,-2.496275,-1.89640257973734,3.43362101313321,-3.43626641651032,-3.43046904315197,3.43311444652908,"On Ball On_Ball_Big"
"272","SAC",2015,"DeMarcus Cousins","Darren Collison","Post Scorer","Primary Ball Handler",3.18,1.73,7.5,4.3,33.9052369077307,34.5635910224439,-22.84,-18.75,-14.49,8.19,251,198,220,935,18.59,13.2,0,0.699999999999996,34.1,0.840591397849462,0.691056910569106,0.149534487280357,TRUE,33.4166666666667,7.51122194513716,5.92518703241895,6.58354114713217,27.9800498753117,48,13.44,0.558870680441753,"On_Ball_Big","On Ball","Post Scorer Primary Ball Handler","On Ball On_Ball_Big",10.8,2.64,3.29,31.27,13.44,0,0.65,33.91,0,13.44,14.09,20.47,0.803571428571429,TRUE,TRUE,-3.10192643391521,-0.673999999999999,2.42792643391521,-0.805525000000001,2.29640143391521,-6.010725,-2.90879856608479,3.28877805486284,-3.28518703241895,-3.29354114713217,3.28995012468828,"On Ball On_Ball_Big"
"273","DAL",2017,"Harrison Barnes","Wesley Matthews","Slasher","Shot Creator",0.15,-0.39,4.6,3.2,35.2405063291139,34.1910241657077,0.51,-1.76,-5.23,-3.43,617,383,307,2169,4.07,12.5,1.3,0,34.2,0.735316170957261,0.758656873032529,-0.0233407020752681,TRUE,72.4166666666667,8.52013808975834,5.28883774453395,4.23935558112773,29.95166858458,48,12.76,0.667722420827456,"On Ball","On Ball","Shot Creator Slasher","On Ball On Ball",7.99,5.82,4.77,29.42,12.76,1.05,0,34.19,0,13.81,12.76,21.43,0.626175548589342,TRUE,FALSE,-2.70560701956272,-2.35872916666667,0.346877852896049,-2.34608541666667,0.35952160289605,-3.42802708333333,-0.722420063770617,-0.530138089758342,0.531162255466054,0.530644418872267,-0.531668584579972,"On Ball On Ball"
"274","UTA",2011,"Paul Millsap","Al Jefferson","Athletic Finisher","Post Scorer",1.95,0.08,7.5,4.7,33.9505837632365,35.2147705674722,0.38,6.84,-12.51,-1.32,570,411,508,2194,4.73,12.1,0,1.6,34.3,0.751392405063291,0.70478637969804,0.0466060253652506,TRUE,76.7291666666667,7.42872658159109,5.35650285093674,6.62068965517241,28.5940809122998,48,12.79,0.580823032180695,"Off Ball","On_Ball_Big","Athletic Finisher Post Scorer","Off Ball On_Ball_Big",8.51,4.28,5.54,29.68,12.79,0,1.26,33.96,0,12.79,14.05,21.17,0.665363565285379,TRUE,TRUE,-1.68974205810481,-1.26445833333333,0.425283724771472,-1.16103333333333,0.528708724771473,-2.42138125,-0.731639191895194,1.08127341840891,-1.07650285093674,-1.08068965517241,1.08591908770025,"Off Ball On_Ball_Big"
"275","PHI",2020,"Tobias Harris","Ben Simmons","Shot Creator","Roll + Cut Big",1.94,2.11,7,5.9,34.2257829570284,35.2571012381646,3.26,4.32,-1.19,2.01,421,308,367,1650,2.14,12.6,0,1.1,34.3,0.736315921019745,0.709677419354839,0.0266385016649063,TRUE,57.2083333333333,7.35906773488711,5.38383102694829,6.41514930808449,28.8419519300801,48,12.74,0.577634830053933,"On Ball","Off_Ball_Big","Roll + Cut Big Shot Creator","Off_Ball_Big On Ball",7.98,4.76,5.79,29.46,12.74,0,1.03,34.22,0,12.74,13.77,21.48,0.626373626373626,TRUE,TRUE,2.03306263656227,2.26479166666667,0.231729030104394,2.27268541666667,0.239622780104394,1.70469375,-0.328368886562272,0.620932265112892,-0.623831026948288,-0.625149308084486,0.618048069919887,"Off_Ball_Big On Ball"
