PLAYER,SEASON,TEAM,OFFENSIVE ARCHETYPE,MINUTES,POS,AGE,LEBRON,O-LEBRON,D-LEBRON,WINS ADDED,BOXLEBRON,BOXOLEBRON,BOXDLEBRON
Willie Cauley-Stein,2020-21,DAL,Roll + Cut Big,906,C,27,-0.59,-2.03,1.44,1,-0.19,-1.59,1.39
John Salmons,2010-11,MIL,Shot Creator,"2,554",SG,31,-0.88,-2.03,1.15,2.4,-0.31,-0.99,0.68
Alexis Ajinca,2016-17,NOP,Roll + Cut Big,584,C,28,-1.05,-2.03,0.98,0.5,-1.31,-2.39,1.09
Brandon Rush,2009-10,IND,Stationary Shooter,"2,491",SG,24,-1.16,-2.03,0.87,1.9,-1.68,-1.93,0.25
Samuel Dalembert,2010-11,SAC,Post Scorer,"1,937",C,29,-1.25,-2.03,0.78,1.3,-0.77,-1.88,1.11
Hamed Haddadi,2009-10,MEM,Post Scorer,240,C,24,-1.43,-2.03,0.6,0.1,-1.08,-1.68,0.6
Tyler Zeller,2016-17,BOS,Roll + Cut Big,525,C,27,-1.87,-2.03,0.16,0.2,-1.63,-1.72,0.1
Andrew Nicholson,2012-13,ORL,Post Scorer,"1,249",PF,23,-1.89,-2.03,0.14,0.3,-2.3,-1.69,-0.62
Bruce Brown,2019-20,DET,Athletic Finisher,"1,634",PG,23,-1.92,-2.03,0.1,0.5,-1.2,-1.38,0.18
Lonnie Walker IV,2018-19,SAS,Secondary Ball Handler,118,SG,20,-2.36,-2.03,-0.33,0,-1.64,-1.68,0.04
Shane Larkin,2013-14,DAL,Secondary Ball Handler,489,PG,21,-2.46,-2.03,-0.43,-0.1,-2.69,-1.95,-0.73
Chandler Parsons,2018-19,MEM,Secondary Ball Handler,496,SF,30,-2.76,-2.03,-0.73,-0.1,-2.2,-1.84,-0.36
Andrew Bogut,2015-16,GSW,Roll + Cut Big,"1,451",C,31,1.22,-2.04,3.26,3.5,1.98,-0.96,2.94
Marcin Gortat,2017-18,WAS,Post Scorer,"2,074",C,33,-0.6,-2.04,1.44,2.4,-0.09,-1.01,0.91
JaJuan Johnson,2011-12,BOS,Post Scorer,298,PF,22,-1.92,-2.04,0.12,0.1,-1.86,-1.63,-0.23
Glenn Robinson III,2016-17,IND,Athletic Finisher,"1,427",SF,23,-2,-2.04,0.04,0.3,-1.55,-1.28,-0.27
Deividas Sirvydis,2020-21,DET,Movement Shooter,133,SG,20,-2.27,-2.04,-0.23,0,-1.81,-1.71,-0.1
Jawad Williams,2010-11,CLE,Stationary Shooter,391,SF,27,-2.58,-2.04,-0.54,-0.1,-1.88,-1.6,-0.29
Kevin Ollie,2009-10,OKC,Stationary Shooter,263,PG,37,-2.7,-2.04,-0.66,-0.1,-2.38,-1.73,-0.66
Sterling Brown,2018-19,MIL,Stationary Shooter,"1,034",SG,23,-2.72,-2.04,-0.68,-0.3,-1.2,-0.97,-0.23
Alfonzo McKinnie,2019-20,CLE,Athletic Finisher,593,SF,27,-2.79,-2.04,-0.76,-0.2,-2.16,-2.29,0.13
Reggie Bullock,2013-14,LAC,Off Screen Shooter,396,SF,22,-3.24,-2.04,-1.2,-0.3,-3.43,-1.89,-1.53
Bismack Biyombo,2015-16,TOR,Roll + Cut Big,"1,808",C,23,0.69,-2.05,2.74,3.6,1.2,-1.22,2.42
Ronny Turiaf,2010-11,NYK,Roll + Cut Big,"1,141",C,28,0.28,-2.05,2.33,2,-0.05,-1.46,1.41
DeAndre Jordan,2021-22,LAL/PHI,Roll + Cut Big,622,C,33,-1.05,-2.05,1,0.5,-0.07,-1.44,1.37
Jamaal Magloire,2009-10,MIA,Post Scorer,359,C,31,-1.27,-2.05,0.78,0.2,-1.25,-2.1,0.85
Mamadi Diakite,2020-21,MIL,Roll + Cut Big,141,PF,24,-1.3,-2.05,0.75,0.1,-1.65,-1.95,0.3
Khyri Thomas,2018-19,DET,Movement Shooter,195,SG,22,-1.98,-2.05,0.07,0,-1.79,-1.88,0.08
Udonis Haslem,2014-15,MIA,Roll + Cut Big,995,PF,34,-1.99,-2.05,0.06,0.2,-1.88,-1.88,0
